Artist,Streams,Tracks,Genres
Papu DJ,3839673,"L-Gante: RKT SESSIONS #1, L-Gante: RKT SESSIONS #1, L-Gante RKT - Remix","cumbia 420, rkt"
La K'onga,8200918,"Universo Paralelo, Te Mentiría, El Mismo Aire, Te Mentiría, Te perdiste mi amor, La Cabaña, Ya No Más, Convénceme, Perfecta, Universo Paralelo, Si Me Dices Que Si, La noche sin ti",cuarteto
Nahuel Pennisi,2494989,"Universo Paralelo, Universo Paralelo","concurso de talentos argentino, folklore argentino"
Residente,2442038,"Residente: Bzrp Music Sessions, Vol. 49, Flow HP",venezuelan hip hop
Snow Tha Product,2164689,"Snow Tha Product: Bzrp Music Sessions, Vol. 39","alternative r&b, rap latina, trap queen"
Sofía Reyes,2499749,"Marte, Mal de Amores, 1, 2, 3 (feat. Jason Derulo & De La Ghetto), Dancing On Dangerous","latin pop, latin viral pop, mexican pop, reggaeton"
KAROL G,15420767,"BICHOTA, PROVENZA, MAMIII, Poblado - Remix, EL MAKINON, BICHOTA, MAMIII, SEJODIOTO, Poblado - Remix, Ay, DiOs Mío!, Miedito o Qué? (feat. KAROL G), Don't Be Shy, Tusa, LOCATION, LOCATION, Ay, DiOs Mío!, Tusa, Caramelo - Remix","reggaeton, reggaeton colombiano, trap latino, urbano latino"
Cris Mj,3631393,"Una Noche en Medellín, Locura y Maldad, Me Arrepentí, Los Malvekes, Funky De Antes (feat. Ecko, Marcianeke & DJ Tao) - Remix","mambo chileno, urbano chileno"
Mau y Ricky,3493801,"Mal Acostumbrao, Prende la Cámara RMX, 3 de La Mañana, No Puede Ser - with Eladio Carrion","latin pop, pop venezolano, reggaeton, urbano latino"
Drake,35778852,"Girls Want Girls (with Lil Baby), Fair Trade (with Travis Scott), Champagne Poetry, Way 2 Sexy (with Future & Young Thug), Jimmy Cooks (feat. 21 Savage), Papi’s Home, Knife Talk (with 21 Savage ft. Project Pat), Love All (with JAY-Z), In The Bible (with Lil Durk & Giveon), TSU, What’s Next, No Friends In The Industry, Falling Back, Sticky, N 2 Deep, WAIT FOR U (feat. Drake & Tems), Massive, Wants and Needs (feat. Lil Baby), Pipe Down, 7am On Bridle Path, Race My Mind, IMY2 (with Kid Cudi), Fountains (with Tems), Churchill Downs (feat. Drake), Texts Go Green, Yebba’s Heartbreak, You Only Live Twice (with Lil Wayne & Rick Ross), Get Along Better, Lemon Pepper Freestyle (feat. Rick Ross), Calling My Name, A Keeper, F*****g Fans, Flight's Booked, Currents, The Remorse, Overdrive, Laugh Now Cry Later (feat. Lil Durk), Solid (feat. Drake), Intro, Tie That Binds, Liability, Down Hill, Wasting Time ( feat. Drake & The Neptunes ), Bubbly (with Drake & Travis Scott), One Dance, I'M ON ONE (feat. Drake), Having Our Way (feat. Drake), P power (feat. Drake), Over The Top (feat. Drake), POPSTAR (feat. Drake), Life Is Good (feat. Drake), Seeing Green (with Drake & Lil Wayne), POPSTAR (feat. Drake), Passionfruit","canadian hip hop, canadian pop, hip hop, rap, toronto rap"
Lil Baby,5272274,"Girls Want Girls (with Lil Baby), p r i d e . i s . t h e . d e v i l (with Lil Baby), Wants and Needs (feat. Lil Baby), For The Night (feat. Lil Baby & DaBaby), I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby), Do We Have A Problem?, 2step (feat. Lil Baby), Ramen & OJ","atl hip hop, atl trap, rap, trap"
Anitta,5062340,"La Loto, Envolver, Envolver, TODO O NADA, Envolver Remix","funk pop, funk rj, pagode baiano, pop, pop nacional"
Omar Varela,8330601,"Hace Calor, Que a Pasao, Que a Pasao - Remix, DUDADE, Tinty Nasty, P rreo, Al Gendarme, Hace Calor, Pal Cache, Diablona, Sembrando el Terror - Remix, Red Bull Red Label",gaming dubstep
Justin Quiles,12523609,"Unfollow, Unfollow, Medallo, Jeans, Ponte Pa' Mi, Parce (feat. Justin Quiles), Se Le Ve, Colorín Colorado, Regresé, Dime Dónde, Loco, La Botella, Loco, Regresé, Envolver Remix, Cosas Malas, Tussi, PORFA","reggaeton, trap latino, urbano latino"
